column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13
,SV1021,Chi Vũ,11/10/2002,01 5224 4454abc,john08@example.net,HN,0.7455,,3.3269,Err,,
,SV1022,Chị Thành Nguyễn,28/10/2002,(03) 1009 4807,wle@example,TP HCM,6.5839,-4.56,1.7745,1.27,,
,SV1023,Quang Hoàng Lê,16/01/2004,(07)185-5271,cmai@example.org,Ho Chi Minh City,9.8286,19.89,0.8711,10.2,,
,SV1024,Chị Phương Hoàng,29/08/2006,(8) 432 2696,duongjohn@example.com,Cần Thơ,4.4213,1.8657,1.7617,2.68,,
,SV1025,Bà Xuân Trần,32/13/2002,(00)404-3088,hoangjohn@example.com,Ho Chi Minh City,7.5312,,4.5319,Err,,
,SV1026,Quý ông Tú Trần,Unknown,+84 83 0360491,jane58@example.com,Ha Nioj,8.8623,9.4297,8.8046,9.03,,
,SV1027,Bác Hưng Hoàng,17/11/2005,06 6259 2273,uvu@example.net,HCM,2.3027,-4.2,14.34,4.15,,
,SV1028,Hưng Lê,03/12/2003,+84-30-667 6320,johndang@example.net,Cần Thơ,0.1886,8.4898,9.1684,5.95,,
,SV1029,Vũ Dương,2005-12-22,—,whoang@example.net,HCM,9.9494,6.4587,3.1626,6.52,,
,SV1030,Chị Vân Bùi,Unknown,(07) 1221 3054abc,jane04@example.net,,8.5,100,2.853,37.12,,
,SV1031,Khoa Thế Lê,25/09/2003,04 3928667,lejane@example.com,HÀ NỘI,13.36,1.3182,1.4196,5.37,,
,SV1032,Hạnh Trần,03/10/2006,+84 99 1979327,duongjane@example.com,TP HCM,5.0529,5.4803,100,36.84,,
,SV1033,Trung Vũ,04/07/2003,+84 78 6464480,buijane@example.org,tp hcm,3.3356,,8.214,Err,,
,SV1034,Chị Nhật Bùi,26/05/2003,(06)633-3915abc,—,HN,7.0695,3.2495,,Err,,
,SV1035,Quang Xuân Dương,27/01/2007,—,jane36@example.net,HN,100,,1.4418,Err,,
,SV1036,Bà Bảo Phạm,22/07/2005,+84 68 7481625,janedang@example.org,Ha Nioj,4.3139,7.6844,1.5645,4.52,,
,SV1037,Bà Hải Bùi,08/09/2004,+84-40-750 7128abc,jane93@example.org,HN,7.4036,0.8201,14.24,7.49,,
,SV1038,Duyên Đặng,10/02/2003,(00)7,—,Ha Nioj,100,,3.1848,Err,,
,SV1039,Hà Hoàng Lê,Unknown,+84-77-965591,johnmai@example.org,Đà Nẵng,0.2858,6.9274,13.24,6.82,,
,SV1040,Vân Lê,23/11/2006,+84 07 1653087,BUIJANE@EXAMPLE.COM,hà nội,-4.29,8.1731,2.3432,2.08,,
,SV1041,Quý ông Hoàng Nguyễn,08/08/2005,(06)574-3576,rnguyenexample.org,TP HCM,1.7696,2.0352,,Err,,
,SV1042,Dương Mai,22/09/2004,(04) 3718 4733,john97@example.org,Cần Thơ,7.5052,-3.77,6.9335,3.56,,
,SV1043,An Mai,32/13/2002,(3) 7143 485,tpham@example.net,Đà Nẵng,7.9849,2.7577,9.9269,6.89,,
,SV1044,Hải Bảo Mai,04/11/2003,—,vujane@example.net,cần thơ,,0.5111,,Err,,
,SV1045,Anh Bảo Vũ,03/02/2004,(01)719-9933,john36@example.org,Ha Nioj,6.6958,,8.179,Err,,
,SV1046,Quý ông Quang Đặng,unknown,+84-98-437664,johnbui@example.com,HCM,1.9549,4.0421,5.252,3.75,,
,SV1047,Khoa Mai,28/02/2005,+84 92 0927974,hbuiexample.net,đà nẵng,7.2105,3.1924,7.435,5.95,,
,SV1048,Hưng Nguyễn,Unknown,04 0104 3112,dangjane@example.org,HCM,,8.495,0.0245,Err,,
,SV1049,Quang Mai Đặng,14/05/2005,03 6499511,lejohn@example.net,HN,3.5244,6.5173,4.4763,4.84,,
,SV1050,Hoàng Phạm,32/13/2002,+84 47 9364692,—,HN,2.1343,5.0689,0.7051,2.64,,
,SV1051,Hà Bùi,12/07/2004,+84-50-285 7552,—,Ho Chi Minh City,1.0707,16.44,-2.75,4.92,,
,SV1052,Mai Đặng,Unknown,(09) 4504 7597,udang@example.com,HẢI PHÒNG,6.5623,3.0911,1.2301,3.63,,
,SV1053,Chi Phạm,2006-03-09,03 2297098abc,ZPHAM@EXAMPLE.ORG,hải phòng,2.1229,7.402,,Err,,
,SV1054,Cô Mai Nguyễn,18/06/2006,02 3620 9938,john04@example.org,Cần Thơ,16.61,-3.88,0.3371,4.36,,
,SV1055,Quý ông Vũ Bùi,unknown,(06)592-5299,fmai@example.org,Hà Nội,5.015,9.4509,,Err,,
,SV1056,Chị Yến Phạm,24/05/2003,—,janemai@example.com,Hà Nội,9.28,2.9585,-3.97,2.76,,
,SV1057,Thảo Bùi,27/05/2002,+84-73-365630,john75@example.net,,4.2512,-2.96,8.7335,3.34,,
,SV1058,Hà Hoàng,31/12/2005,—,unguyen@example.com,Cần Thơ,5.1989,-3.76,,Err,,
,SV1059,Kim Đặng,unknown,(09)842-0690,janenguyenexample.org,Cần Thơ,1.5463,7.9404,6.5052,5.33,,
,SV1060,Bà Thành Nguyễn,19/03/2003,08 0067 7587,—,HCM,7.7779,,5.1645,Err,,
,SV1061,Cô Kim Đặng,06/03/2003,09 9708 9402,inguyen@example.net,,2.2377,4.5308,9.4455,5.4,,
,SV1062,Cô Hạnh Mai,26/07/2005,(07)134-3741,maijane@example.org,TP HCM,4.4365,4.3499,7.43,5.41,,
,SV1063,Chi Hoàng,17/01/2002,(03)577-3514,nguyenjane@example.net,TP HCM,8.9389,7.6572,3.5477,6.71,,
,SV1064,Bà Vi Trần,unknown,06 0633 7652,JOHNMAI@EXAMPLE.COM,Hà Nội,4.5819,6.2105,0.6998,3.83,,
,SV1065,Huy Dương,16/02/2005,07 0140443,fmai@example.org,Cần Thơ,6.1127,2.8288,,Err,,
,SV1066,Hạnh Hoàng Dương,07/09/2007,+84-35-371865,upham@example.org,Cần Thơ,6.3732,1.0681,8.8035,5.41,,
,SV1067,Bảo Đức Lê,23/10/2006,02 3472 4291,—,HCM,0.2749,2.5595,7.9228,3.59,,
,SV1068,Hải Bùi,06/09/2003,+84-39-51 6656,janele@example.org,,9.3196,7.1087,5.948,7.46,,
,SV1069,Hồng Phạm,2002-10-27,(03) 4949 2548abc,john25@example.org,Ha Nioj,14.02,7.8132,8.6207,10.15,,
,SV1070,Quý cô Nhật Vũ,unknown,8 852636,cle@example.net,Hà Nội,100,0.0734,3.7011,34.59,,
,SV1071,Huy Đức Hoàng,23/10/2005,(09),johndang@example.net,Ho Chi Minh City,1.9232,1.6033,,Err,,
,SV1072,Quý cô Chi Mai,11/11/2007,—,jbui@example.org,TP HCM,4.1355,7.9483,,Err,,
,SV1073,Dương Hoàng,27/12/2003,+84-2,john42@example.org,,3.9059,3.5193,3.9504,3.79,,
,SV1074,Bà Nhật Vũ,05/05/2004,+84 17 4674756,janele@example.net,,7.9776,7.2968,9.5172,8.26,,
,SV1075,Hải Phạm,2005-01-11,—,stran@example.net,Hà Nội,2.6379,8.5358,5.1006,5.42,,
,SV1076,Quý cô Hà Lê,16/05/2006,+84-05-780 2035,duongjane@example.net,Hà Nội,4.5436,4.6212,1.3841,3.52,,
,SV1077,Bà Nhật Vũ,2004-09-24,+84-17-046250abc,jane14@example.net,HCM,8.3482,9.1534,12.27,9.92,,
,SV1078,Châu Đức Mai,Unknown,(00)091-3547,john58@example.org,TP HCM,3.0456,-1.81,6.5116,2.58,,
,SV1079,Châu Bảo Lê,25/12/2007,03 2025 7956,john30@example.com,HCM,5.2874,0.7827,5.8001,3.96,,
,SV1080,Nhật Đức Đặng,32/13/2002,(05) 5341 1671,john08@example.net,Đà Nẵng,-0.5,9.5465,5.8076,4.95,,
,SV1081,Khoa Trần,03/03/2006,00 5688 9899,NGUYENJOHN@EXAMPLE.ORG,HÀ NỘI,2.4573,5.2971,1.7128,3.16,,
,SV1082,Quý ông Quang Bùi,14/02/2007,—,tranjaneexample.org,,3.2424,2.9572,6.4585,4.22,,
,SV1083,Hải Mai Bảo Đặng,unknown,+84-0,jane76@example.org,TP HCM,5.9158,2.1676,2.1962,3.43,,
,SV1084,Chị Kim Bùi,27/06/2007,(08),jane27@example.net,Hà Nội,,8.5647,4.9068,Err,,
,SV1085,Bảo Quang Mai,28/01/2002,+84-90-478 4547,johnbui@example.org,đà nẵng,2.9346,1.7222,0.2602,1.64,,
,SV1086,Anh Hữu Dương,16/12/2003,+84-01-618958abc,—,HCM,13.51,100,0.1533,37.89,,
,SV1087,Hưng Hoàng,01/08/2007,05 0336518,janehoang@example.com,hà nội,2.7738,3.0868,,Err,,
,SV1088,Cô Chi Đặng,30/11/2006,(09),janeduong@example.net,,9.9144,9.1969,,Err,,
,SV1089,Anh Nguyễn,21/02/2004,(06)825-2566,—,,5.4525,1.5099,8.7589,5.24,,
,SV1090,Yến Lê,16/11/2003,04 3401888,JOHNPHAM@EXAMPLE.NET,Hà Nội,15.21,7.8365,,Err,,
,SV1091,Chị Nhật Trần,17/12/2006,+84-06-214099,lejohn@example.net,Ho Chi Minh City,0.8415,4.7757,0.7304,2.12,,
,SV1092,Bà Kim Hoàng,25/12/2002,(09) 5372 0523abc,hdang@example.net,Cần Thơ,,7.4331,4.2279,Err,,
,SV1093,Cô Khoa Lê,24/06/2005,04 0220 0819,duongjohn@example.org,HN,-4.46,11.71,8.6379,5.3,,
,SV1094,Bà Lan Mai,Unknown,+84-05-089 8067,john91@example.org,Cần Thơ,4.7797,0.0437,7.9064,4.24,,
,SV1095,Cô Hương Hoàng,Unknown,5 952667,tranjohn@example.org,Đà Nẵng,,3.998,2.0818,Err,,
,SV1096,Cô Ánh Dương,06/02/2002,(09),xdangexample.org,cần thơ,8.7416,7.7733,12.85,9.79,,
,SV1097,Ngọc Mai,18/01/2002,08 7630470,janetran@example.org,TP HCM,1.9191,3.9493,,Err,,
,SV1098,Khoa Vũ,08/02/2004,—,johnmai@example.com,Đà Nẵng,8.946,0.3487,1.2587,3.52,,
,SV1099,Phúc Tấn Hoàng,03/06/2002,06 7132263,—,,3.7754,7.8904,5.3545,5.67,,
,SV1100,Chị Lan Vũ,Unknown,—,jane18@example.com,Hải Phòng,6.2087,0.7658,3.8254,3.6,,
,SV1101,Cô Ngọc Mai,Unknown,(07)480-8588,janehoang@example.com,hải phòng,5.8279,6.7431,0.3893,4.32,,
,SV1102,Thành Bùi,25/12/2006,(09)068-2533,jane02@example.com,HCM,18.97,9.2079,2.9049,10.36,,
,SV1103,Chị Ngọc Mai,01/12/2007,+84-44-425 0740,johnduong@example.org,TP HCM,4.6705,-2.66,7.3469,3.12,,
,SV1104,Bảo Quang Đặng,04/03/2002,—,jpham@example.com,Hải Phòng,,100,9.5653,Err,,
,SV1105,Ngọc Bùi,18/11/2002,00 0193753,john18example.com,HN,6.6732,-4.2,15.77,6.08,,
,SV1106,Lan Bùi,01/07/2002,08 7933382,janedang@example.com,Cần Thơ,6.4036,4.3876,4.3947,5.06,,
,SV1107,Nhật Hoàng Nguyễn,03/12/2005,+84 66 2564151,gtran@example.com,HÀ NỘI,3.676,0.2579,100,34.64,,
,SV1108,Nhiên Bùi,07/07/2005,+84 76 5190511,wnguyen@example.com,,-3.61,3.42,,Err,,
,SV1109,Ánh Vũ,12/09/2003,+84-06-575229,ohoang@example.com,Đà Nẵng,,3.9063,16.7,Err,,
,SV1110,Khoa Đức Trần,04/08/2002,+84-1,phamjane@example.com,,-0.25,4.4544,1.6581,1.95,,
,SV1111,Hà Bùi,22/09/2003,+84-56-126 9190,mbuiexample.net,TP HCM,4.042,100,,Err,,
,SV1112,Trung Tấn Hoàng,23/12/2004,9 3613798,john10@example.net,Ha Nioj,2.0094,-3.79,9.4789,2.57,,
,SV1113,Nhật Hữu Mai,08/05/2005,+84-32-342 7784abc,jpham@example.net,,4.4174,4.6683,6.7211,5.27,,
,SV1114,Chị Hải Đặng,23/12/2005,—,jane17@example.org,CẦN THƠ,1.2288,8.7515,7.2049,5.73,,
,SV1115,Phương Phạm,08/11/2002,(04) 0395 8967,tranjohn@example.net,Hà Nội,,,0.1643,Err,,
,SV1116,Hải Lê,13/10/2004,07 2268579abc,john95@example.com,TP HCM,2.48,0.2571,5.9547,2.9,,
,SV1117,Khoa Đặng,05/07/2005,(06)636-8184,nguyenjaneexample.net,TP HCM,9.8802,,3.395,Err,,
,SV1118,Quý cô Nhật Bùi,29/07/2002,+84 90 5972023,jane24@example.com,Hà Nội,3.687,0.9242,100,34.87,,
,SV1119,Bác Tùng Bùi,24/11/2006,+84-29-915 3040,ydang@example.com,Hải Phòng,0.4263,5.0524,1.2494,2.24,,
,SV1120,Vân Đặng,09/04/2003,(09)950-0878,jane49@example.net,hải phòng,9.9158,12.11,7.8327,9.95,,
,SV1121,Cô Thành Phạm,2003-08-14,3 756715,omai@example.com,HCM,3.5759,8.623,0.6665,4.29,,
,SV1122,Bảo Xuân Phạm,30/05/2006,6 1272396,vpham@example.com,HN,-3.22,100,1.8578,32.88,,
,SV1123,Anh Dương,30/05/2007,06 1252 0416,nguyenjane@example.net,HCM,5.7916,8.6258,5.6062,6.67,,
,SV1124,Quý cô Hải Đặng,23/12/2006,08 6171082,hoangjane@example.org,Hải Phòng,5.3345,7.2042,7.1838,6.57,,
,SV1125,Xuân Vũ,06/06/2007,+84 82 0708297,jane08@example.net,ĐÀ NẴNG,6.1765,6.9132,,Err,,
,SV1126,Hải Hoàng Trần,05/10/2007,03 3682 0945,tranjane@example.org,TP HCM,,0.2928,-4.81,Err,,
,SV1127,Khoa Mai,07/11/2007,+84-61-526150,janeduong@example.com,ĐÀ NẴNG,4.5958,7.8703,0.005,4.16,,
,SV1128,Quý cô Thảo Phạm,03/11/2006,(07) 2459 5758,JOHN54@EXAMPLE.COM,,0.2729,7.8209,5.9984,4.7,,
,SV1129,Quý ông Quang Hoàng,11/10/2003,(07) 3602 1281,LEJOHN@EXAMPLE.COM,hà nội,14.7,4.0137,0.6998,6.47,,
,SV1130,Quý ông Huy Nguyễn,28/05/2003,06 3038316,tranjane@example.net,Cần Thơ,4.1401,6.2905,,Err,,
,SV1131,Lâm Mai,05/12/2006,(07) 9445 6832,ebui@example.net,Đà Nẵng,6.804,7.1589,,Err,,
,SV1132,Thành Văn Nguyễn,31/12/2005,(00)524-8874,KPHAM@EXAMPLE.NET,cần thơ,-4.57,9.7771,9.9983,5.07,,
,SV1133,Lan Đặng,2004-04-15,00 9850099,rnguyen@example,Hải Phòng,7.5179,8.0161,2.2541,5.93,,
,SV1134,Hạnh Lê,18/05/2005,+84 57 8191444,jane44@example.net,Hà Nội,0.3111,6.7677,8.7538,5.28,,
,SV1135,Bác Anh Trần,32/13/2002,+84-65-621865,john22@example,Ho Chi Minh City,14.81,2.3852,9.6553,8.95,,
,SV1136,Thành Đức Nguyễn,2006-02-08,(02)565-9014abc,buijane@example.org,Hà Nội,-3.86,7.7522,9.0828,4.33,,
,SV1137,Anh Bảo Phạm,24/05/2005,+84 02 6283521,ymai@example,Hải Phòng,4.9919,,5.7399,Err,,
,SV1138,Huy Bảo Trần,32/13/2002,—,vujane@example.org,Ho Chi Minh City,5.5444,7.9661,2.2754,5.26,,
,SV1139,Nam Thế Trần,09/10/2004,+84-95-939 6814,—,Hà Nội,2.9759,3.6632,8.0842,4.91,,
,SV1140,Tú Dương,05/09/2006,07 5645152,TRANJOHN@EXAMPLE.COM,,3.0148,8.8859,6.2036,6.03,,
,SV1141,Cô Hương Đặng,Unknown,(01) 5377 7567,—,TP HCM,5.9884,5.7417,6.3045,6.01,,
,SV1142,Ông Bảo Lê,06/12/2003,+84-49-984526,johnhoangexample.org,HCM,7.4345,7.9067,8.0801,7.81,,
,SV1143,Khoa Trần,16/03/2005,03 74,jane43@example.net,Ho Chi Minh City,3.2308,8.1166,5.1276,5.49,,
,SV1144,Bảo Đặng,Unknown,+84-57-419 6374abc,duongjohn@example.org,,100,-1.7,1.8558,33.39,,
,SV1145,Bà Vi Dương,unknown,+84-43-961 2254,mbui@example.net,hà nội,7.6217,7.6045,0.7836,5.34,,
,SV1146,Minh Văn Hoàng,21/02/2003,08 7676 1892,zle@example.net,HCM,2.4917,1.0159,8.1552,3.89,,
,SV1147,Hải Quang Đặng,32/13/2002,+84 36 6823983,gle@example.com,đà nẵng,2.6465,0.6874,-3.11,0.07,,
,SV1148,Hưng Nguyễn,2006-04-10,(02)4,jane46@example.com,TP HCM,5.3813,3.6715,8.4772,5.84,,
,SV1149,Hạnh Phạm,28/04/2002,+84-76-247 1052,janetran@example.net,TP HCM,4.0224,8.8698,0.9414,4.61,,
,SV1150,Bà Vi Nguyễn,03/11/2005,+84-61-718897,janemai@example.com,TP HCM,9.2446,4.3329,,Err,,
,SV1151,Mai Lê,2007-06-28,03 19,—,ĐÀ NẴNG,4.7147,-3.32,,Err,,
,SV1152,Chị Kim Bùi,unknown,03 0256 2296abc,emai@example.net,HN,15.73,-1.87,3.7318,5.86,,
,SV1153,Tú Bùi,02/09/2007,+84 16 6042317,—,CẦN THƠ,8.7187,0.2073,4.1312,4.35,,
,SV1154,Chị Vi Đặng,21/05/2004,06 7524 8835,johnduongexample.net,Hà Nội,2.4323,-1.99,6.5234,2.32,,
,SV1155,An Dương,27/07/2006,+84-24-084 3874,JOHN26@EXAMPLE.COM,HN,4.1049,6.0487,0.5657,3.57,,
,SV1156,Nam Bảo Mai,Unknown,+84-70-020 1992,johnhoang@example.org,Ho Chi Minh City,0.0579,3.8186,7.7188,3.87,,
,SV1157,Chị Dương Trần,11/07/2007,+84 3,lejohn@example.net,Hải Phòng,6.0984,6.9065,2.1584,5.05,,
,SV1158,Khoa Lê,09/12/2004,+84-0,janebui@example.com,Đà Nẵng,3.948,13.59,14.02,10.52,,
,SV1159,Khoa Hải Hoàng,14/01/2004,+84-65-753 1375,hhoang@example.net,Ho Chi Minh City,,8.7815,2.1019,Err,,
,SV1160,Bảo Đặng,25/04/2002,+84 06 5372937abc,—,,9.1617,0.4515,8.7809,6.13,,
,SV1161,Trọng Nguyễn,17/08/2002,00 4343456,itran@example.net,Hải Phòng,12.88,,8.9618,Err,,
,SV1162,Bảo Hải Mai,21/05/2002,+84 23 4946934abc,nguyenjane@example.net,Hải Phòng,0.0363,0.2376,9.803,3.36,,
,SV1163,Quý cô Dương Nguyễn,13/06/2006,06 3949066,—,Cần Thơ,8.1796,2.107,1.0846,3.79,,
,SV1164,Thành Hoàng,32/13/2002,+84-86-320 8637abc,duongjohn@example.org,HN,8.5883,9.4763,0.4275,6.16,,
,SV1165,Bác Tùng Vũ,27/07/2004,(03)276-2302,JOHN54@EXAMPLE.COM,cần thơ,9.3478,,8.4334,Err,,
,SV1166,Khoa Quang Lê,16/01/2004,06 1290 1305,—,Hải Phòng,13.98,14.73,3.0974,10.6,,
,SV1167,Hoàng Nguyễn,27/02/2007,02 4308 5627abc,johnduong@example.com,Cần Thơ,6.1145,,2.5311,Err,,
,SV1168,Ông Tùng Lê,32/13/2002,(03)277-1838,dangjohn@example.com,,5.1104,,15.02,Err,,
,SV1169,Ông Quang Bùi,02/03/2006,08 6890448,buijane@example.org,Ho Chi Minh City,6.7676,2.5825,2.1011,3.82,,
,SV1170,Quý cô Thảo Mai,24/07/2003,(07)903-2397,jane23@example.com,Cần Thơ,3.6216,,15.2,Err,,
,SV1171,Nhật Đặng,18/12/2006,+84-92-493408,ppham@example.org,Đà Nẵng,2.2332,7.0516,100,36.43,,
,SV1172,Bảo Phạm,2005-10-04,+84-92-472207,dle@example.org,Ho Chi Minh City,0.06,5.1474,4.1214,3.11,,
,SV1173,Anh Dũng Dương,2003-05-07,09 2780169,johnhoang@example.net,HCM,6.4359,7.3214,9.3744,7.71,,
,SV1174,Ông Nhiên Mai,15/02/2004,(05)521-6289,johnnguyen@example.com,HCM,2.5847,3.9806,1.6421,2.74,,
,SV1175,Xuân Nguyễn,2004-11-15,(04) 1315 8603abc,ipham@example.net,Hà Nội,100,9.8966,7.5061,39.13,,
,SV1176,Ánh Đặng,25/06/2006,04 9359437,john24@example.com,HÀ NỘI,0.1632,4.4473,2.0173,2.21,,
,SV1177,Quý cô Mai Trần,Unknown,(02)5,ntran@example.net,cần thơ,3.1984,6.9356,-3.34,2.26,,
,SV1178,Nhật Tấn Dương,04/03/2005,+84-44-049 2661,johnmai@example.org,Đà Nẵng,9.5834,3.152,5.2805,6.01,,
,SV1179,Linh Dương,15/05/2002,(05)383-4028,johndangexample.net,Hà Nội,3.3842,3.3001,3.0228,3.24,,
,SV1180,Cô Mai Lê,05/03/2003,+84 11 4948423,hpham@example.com,Đà Nẵng,,8.1878,8.6613,Err,,
,SV1181,Vi Lê,08/05/2006,01 3356 4781,PHAMJOHN@EXAMPLE.NET,TP HCM,4.4634,100,,Err,,
,SV1182,Quý cô Lâm Trần,32/13/2002,02 5341039,jane08@example.com,Đà Nẵng,2.0038,7.4361,1.825,3.75,,
,SV1183,Trung Đặng,25/07/2002,+84 13 2822074,rhoang@example.org,Đà Nẵng,5.655,,7.788,Err,,
,SV1184,Kim Dương,09/06/2007,(03)9,john62@example.org,HCM,3.2657,1.6948,9.0485,4.67,,
,SV1185,Hà Hoàng Trần,24/10/2002,02 6623712,johnpham@example.org,ĐÀ NẴNG,1.0414,,8.5635,Err,,
,SV1186,Hưng Phạm,32/13/2002,(04) 9322 7266abc,—,tp hcm,2.0907,7.9447,8.0322,6.02,,
,SV1187,Bảo Tấn Trần,07/11/2003,(00)437-1144,jane36@example.org,HẢI PHÒNG,5.3402,8.723,9.036,7.7,,
,SV1188,Lâm Đức Dương,18/08/2003,+84 9,fhoang@example.net,Hà Nội,6.4712,6.559,5.4123,6.15,,
,SV1189,Chị Hồng Trần,24/04/2007,+84-67-325140,buijane@example.com,Đà Nẵng,3.0469,,8.5237,Err,,
,SV1190,Quang Đức Đặng,32/13/2002,+84 77 0430075abc,dduong@example.org,hải phòng,3.9368,8.1092,3.1539,5.07,,
,SV1191,Nam Hoàng,11/06/2003,—,jpham@example.org,Đà Nẵng,6.84,6.7828,4.8119,6.14,,
,SV1192,Bảo Mai,unknown,+84-32-934 2617,jane73@example.net,,9.2934,6.9579,2.2758,6.18,,
,SV1193,Bác Nhiên Hoàng,24/06/2002,168724,ibui@example.com,TP HCM,,9.5132,-0.36,Err,,
,SV1194,Kim Đặng,14/10/2004,(00) 1994 4038,ivu@example.org,cần thơ,9.5064,9.6674,1.841,7,,
,SV1195,Lâm Mai Bảo Lê,Unknown,(05)473-1079,janepham@example.org,Ha Nioj,0.1465,,2.7118,Err,,
,SV1196,Nam Hải Lê,32/13/2002,—,jane57@example.com,Ha Nioj,,,8.2126,Err,,
,SV1197,Chị Hương Mai,32/13/2002,+84-35-294 0309,duongjohn@example.net,HCM,8.2301,7.1694,,Err,,
,SV1198,An Dương,Unknown,04 7581 6147,janepham@example.org,Hải Phòng,7.7259,14.85,0.6642,7.75,,
,SV1199,Trung Đặng,09/05/2004,04 74,johnleexample.net,TP HCM,5.0828,3.5084,7.6765,5.42,,
,SV1200,Bà Vân Nguyễn,01/03/2004,09 8720 5969,lejohn@example.net,HN,7.5261,,100,Err,,
,SV1201,Bác Khoa Phạm,unknown,(02) 1671 3361,rle@example.net,Hải Phòng,6.8691,1.102,1.0614,3.01,,
,SV1202,Thành Đặng,02/09/2007,02 4571320,ipham@example.com,tp hcm,4.95,9.107,4.2456,6.1,,
,SV1203,Cô Bảo Dương,17/12/2004,(02) 8272 1126,knguyen@example.org,Ho Chi Minh City,3.3141,,,Err,,
,SV1204,Trọng Phú Bùi,Unknown,(05)270-9063,—,TP HCM,15.57,,,Err,,
,SV1205,Hạnh Hải Trần,2005-03-13,(4)199-4811,john93example.org,Ho Chi Minh City,5.0014,4.3387,8.9937,6.11,,
,SV1206,Anh Vũ Mai,Unknown,+84-68-406 8050,nduong@example.net,,-2.17,2.538,0.2426,0.2,,
,SV1207,Thành Hữu Nguyễn,Unknown,+84 69 1540381,nguyenjohnexample.org,Hà Nội,2.6362,8.6594,4.8606,5.39,,
,SV1208,Lâm Phú Hoàng,15/03/2004,07 7155 7651,johnhoang@example.net,HẢI PHÒNG,0.0222,,0.8032,Err,,
,SV1209,Thành Nguyễn,Unknown,00 04,yle@example.org,Cần Thơ,9.3498,8.8953,,Err,,
,SV1210,An Văn Vũ,2006-04-23,—,janenguyen@example.net,Cần Thơ,6.7438,7.9069,9.5743,8.08,,
,SV1211,Hải Thị Vũ,32/13/2002,01 0102 4345,buijane@example.com,HN,4.6635,1.3944,5.1674,3.74,,
,SV1212,Thành Quang Lê,Unknown,(09),PHAMJOHN@EXAMPLE.NET,HÀ NỘI,3.236,4.4822,5.1149,4.28,,
,SV1213,Minh Trần,11/05/2002,(08)170-2227,hoangjane@example.com,,2.5605,,3.035,Err,,
,SV1214,Bà Hạnh Trần,unknown,+84-45-797 0380,ynguyen@example.com,tp hcm,5.9911,8.6248,9.9059,8.17,,
